start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	65	54	72	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_001.png
0	0	93	54	107	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_002.png
0	0	183	54	197	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_003.png
0	0	411	54	415	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_004.png
0	0	585	54	599	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_005.png
0	0	615	54	627	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_006.png
0	0	671	54	684	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_007.png
0	0	714	54	725	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_008.png
0	0	756	54	766	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_009.png
0	0	877	54	888	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_010.png
0	0	892	54	895	56	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_011.png
0	0	76	58	89	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_012.png
0	0	111	58	125	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_013.png
0	0	129	58	143	76	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_014.png
0	0	147	58	161	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_015.png
0	0	165	58	179	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_016.png
0	0	200	58	214	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_017.png
0	0	218	58	232	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_018.png
0	0	236	58	249	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_019.png
0	0	252	58	266	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_020.png
0	0	292	58	316	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_021.png
0	0	320	58	334	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_022.png
0	0	337	58	361	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_023.png
0	0	365	58	381	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_024.png
0	0	383	58	408	76	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_025.png
0	0	418	58	432	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_026.png
0	0	435	58	447	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_027.png
0	0	449	58	461	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_028.png
0	0	464	58	478	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_029.png
0	0	482	58	496	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_030.png
0	0	498	58	510	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_031.png
0	0	513	58	524	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_032.png
0	0	549	58	563	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_033.png
0	0	568	58	581	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_034.png
0	0	628	58	637	72	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_035.png
0	0	639	58	653	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_036.png
0	0	655	58	667	73	../SampleVideos/more/mit6041x_1/mit6041x_1_negate_fgpixel_objs/obj_000000_000000_037.png
