start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	65	54	72	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_001_001.png
0	0	93	54	107	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_002_001.png
0	0	183	54	197	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_003_001.png
0	0	411	54	415	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_004_001.png
0	0	585	54	599	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_005_001.png
0	0	615	54	626	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_006_001.png
0	0	671	54	684	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_007_001.png
0	0	714	54	725	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_008_001.png
0	0	756	54	766	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_009_001.png
0	0	877	54	888	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_010_001.png
0	0	892	54	895	56	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_011_001.png
0	0	76	58	89	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_012_001.png
0	0	111	58	125	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_013_001.png
0	0	129	58	143	76	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_014_001.png
0	0	147	58	161	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_015_001.png
0	0	165	58	179	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_016_001.png
0	0	200	58	214	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_017_001.png
0	0	218	58	232	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_018_001.png
0	0	236	58	249	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_019_001.png
0	0	252	58	266	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_020_001.png
0	0	292	58	316	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_021_001.png
0	0	320	58	334	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_022_001.png
0	0	337	58	361	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_023_001.png
0	0	365	58	381	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_024_001.png
0	0	383	58	392	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_025_001.png
0	0	394	58	408	76	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_025_002.png
0	0	418	58	432	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_026_001.png
0	0	435	58	447	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_027_001.png
0	0	449	58	461	73	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_028_001.png
0	0	464	58	478	72	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs//cleanup/obj_000000_000000_029_001.png
