start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	65	54	927	76	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_000000_group.png
819	922	81	94	186	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000819_000922_group.png
819	1059	81	66	696	197	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000819_001059_group.png
1050	1292	90	151	280	197	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_001050_001292_group.png
1050	1753	90	151	349	240	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_001050_001753_group.png
819	2109	81	66	696	197	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000819_002109_group.png
819	2389	81	66	696	259	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000819_002389_group.png
819	2687	81	66	714	210	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000819_002687_group.png
1050	2704	90	165	729	210	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_001050_002704_group.png
819	3572	81	66	1181	214	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000819_003572_group.png
3420	3605	871	168	1121	214	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003420_003605_group.png
3914	4087	770	232	819	276	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003914_004087_group.png
3914	4207	770	232	972	282	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003914_004207_group.png
4848	4851	70	312	427	330	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004848_004851_group.png
819	5653	81	66	1181	270	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000819_005653_group.png
3420	5768	871	168	1140	214	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003420_005768_group.png
4848	6671	70	312	427	414	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004848_006671_group.png
4848	6926	70	312	459	463	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004848_006926_group.png
4848	7055	70	312	478	463	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004848_007055_group.png
4848	7455	70	312	708	463	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004848_007455_group.png
4848	7734	70	312	726	512	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004848_007734_group.png
4848	9148	70	312	1181	471	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004848_009148_group.png
9163	9266	758	471	914	516	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_009163_009266_group.png
9163	9410	76	471	959	584	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_009163_009410_group.png
4848	9874	70	312	1181	471	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004848_009874_group.png
10306	10310	64	774	927	859	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_010306_010310_group.png
10306	10715	64	774	927	917	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_010306_010715_group.png
10787	10862	523	890	798	915	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_010787_010862_group.png
10787	11101	523	877	798	915	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_010787_011101_group.png
