start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	65	54	927	76	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000000_000000_group.png
811	1021	81	66	696	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000811_001021_group.png
1034	1753	90	151	349	240	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001034_001753_group.png
1834	1888	410	106	434	146	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001834_001888_group.png
1991	2023	233	171	237	176	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001991_002023_group.png
2058	2129	461	109	527	140	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_002058_002129_group.png
2141	2175	264	184	272	184	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_002141_002175_group.png
2204	2389	410	165	530	259	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_002204_002389_group.png
2442	2563	620	106	700	159	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_002442_002563_group.png
2583	4207	605	105	1181	282	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_002583_004207_group.png
4848	4851	70	312	427	330	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_004848_004851_group.png
5131	5305	133	222	175	270	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005131_005305_group.png
5364	5545	537	89	601	117	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005364_005545_group.png
5560	5653	528	148	593	175	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005560_005653_group.png
5672	5768	1090	180	1140	213	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005672_005768_group.png
6343	9341	101	322	1181	520	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_006343_009341_group.png
9404	9410	76	561	445	584	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_009404_009410_group.png
9851	9874	470	405	476	409	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_009851_009874_group.png
10306	10615	64	774	927	861	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_010306_010615_group.png
10656	10657	108	898	441	917	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_010656_010657_group.png
10714	12463	108	856	934	984	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_010714_012463_group.png
12534	13401	375	1018	852	1097	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_012534_013401_group.png
13820	14024	53	1237	491	1354	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_013820_014024_group.png
14669	14696	962	853	1003	949	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_014669_014696_group.png
14697	14719	952	946	982	1068	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_014697_014719_group.png
14753	14834	1046	833	1142	867	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_014753_014834_group.png
14854	14979	1019	881	1191	927	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_014854_014979_group.png
14995	15176	1005	945	1203	992	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_014995_015176_group.png
15590	15974	104	1099	843	1141	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_015590_015974_group.png
16040	16041	548	1052	549	1053	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_016040_016041_group.png
16042	17279	530	1050	611	1189	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_016042_017279_group.png
18688	19177	920	1076	1204	1211	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_018688_019177_group.png
19244	19246	31	1215	1109	1371	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_019244_019246_group.png
