start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	65	54	927	76	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000000_000000_group.png
819	943	81	66	696	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000819_000943_group.png
944	1292	90	97	307	197	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000944_001292_group.png
1420	2389	104	106	530	259	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_001420_002389_group.png
2474	2687	605	106	714	210	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_002474_002687_group.png
2696	3605	722	105	1181	214	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_002696_003605_group.png
3914	4207	770	232	972	282	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_003914_004207_group.png
4848	4851	70	312	427	330	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004848_004851_group.png
5131	5653	133	89	601	270	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005131_005653_group.png
5697	5768	1090	180	1140	213	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005697_005768_group.png
6394	6671	101	322	383	414	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_006394_006671_group.png
6786	7724	172	336	726	491	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_006786_007724_group.png
7727	7734	599	504	607	512	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_007727_007734_group.png
8631	9148	767	331	1181	453	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_008631_009148_group.png
9163	9266	758	471	914	516	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_009163_009266_group.png
9273	9410	76	480	959	584	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_009273_009410_group.png
9851	9874	470	405	476	409	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_009851_009874_group.png
10306	10310	64	774	927	859	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_010306_010310_group.png
10575	11986	108	827	923	954	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_010575_011986_group.png
12459	12463	108	965	934	984	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_012459_012463_group.png
12534	13222	375	1018	803	1057	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_012534_013222_group.png
13256	13401	640	1040	852	1097	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_013256_013401_group.png
13820	14024	53	1237	491	1354	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_013820_014024_group.png
14669	15176	952	833	1203	1068	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_014669_015176_group.png
15590	17279	104	1050	843	1189	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_015590_017279_group.png
18688	19120	920	1076	1172	1211	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_018688_019120_group.png
19124	19246	31	1179	1204	1371	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_019124_019246_group.png
