start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	65	54	927	76	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000000_000000_group.png
819	943	81	66	696	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000819_000943_group.png
944	1059	90	97	307	197	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000944_001059_group.png
1067	1292	96	151	280	193	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001067_001292_group.png
1420	1722	104	171	331	240	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001420_001722_group.png
1723	2109	233	106	509	186	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001723_002109_group.png
2114	2389	264	120	530	259	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002114_002389_group.png
2474	2687	605	106	714	210	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002474_002687_group.png
2696	2704	722	201	729	207	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002696_002704_group.png
3120	3572	776	105	1181	214	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003120_003572_group.png
3580	3605	1105	184	1121	203	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003580_003605_group.png
3914	4129	770	232	876	276	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003914_004129_group.png
4132	4207	876	240	972	282	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004132_004207_group.png
4848	4851	70	312	427	330	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004848_004851_group.png
5131	5653	133	89	601	270	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005131_005653_group.png
5697	5768	1090	180	1140	213	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005697_005768_group.png
6394	6671	101	322	383	414	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_006394_006671_group.png
6786	6926	301	378	459	463	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_006786_006926_group.png
6932	7055	172	387	478	461	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_006932_007055_group.png
7222	7438	543	336	692	387	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_007222_007438_group.png
7439	7724	541	364	726	491	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_007439_007724_group.png
7727	7734	599	504	607	512	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_007727_007734_group.png
