start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	65	54	927	76	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000000_000000_group.png
811	812	93	115	93	115	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000811_000812_group.png
819	943	81	66	696	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000819_000943_group.png
944	1021	206	97	307	131	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000944_001021_group.png
1034	1049	95	183	101	186	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001034_001049_group.png
1050	1059	90	179	95	197	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001050_001059_group.png
1067	1070	96	186	101	189	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001067_001070_group.png
1071	1120	102	183	280	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001071_001120_group.png
1121	1122	119	181	119	181	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001121_001122_group.png
1129	1234	105	159	196	193	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001129_001234_group.png
1238	1239	185	165	185	165	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001238_001239_group.png
1240	1292	183	151	221	189	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001240_001292_group.png
1374	1406	213	197	219	205	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001374_001406_group.png
1420	1437	212	195	222	233	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001420_001437_group.png
1438	1439	217	195	219	202	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001438_001439_group.png
1442	1443	216	194	216	194	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001442_001443_group.png
1444	1457	217	194	227	204	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001444_001457_group.png
1492	1493	106	206	106	206	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001492_001493_group.png
1494	1520	104	201	164	212	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001494_001520_group.png
1521	1542	164	200	196	212	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001521_001542_group.png
1543	1546	152	226	155	230	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001543_001546_group.png
1551	1593	152	176	250	240	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001551_001593_group.png
1630	1639	247	187	250	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001630_001639_group.png
1640	1645	274	176	278	183	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001640_001645_group.png
1657	1888	274	106	434	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001657_001888_group.png
1991	2023	233	171	237	176	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001991_002023_group.png
2058	2129	461	109	527	140	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002058_002129_group.png
2141	2175	264	184	272	184	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002141_002175_group.png
2204	2274	410	165	478	204	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002204_002274_group.png
2283	2284	498	172	499	173	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002283_002284_group.png
2289	2308	492	165	522	189	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002289_002308_group.png
2311	2315	521	183	521	183	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002311_002315_group.png
2316	2331	516	180	527	201	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002316_002331_group.png
2332	2365	463	189	530	218	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002332_002365_group.png
2366	2367	461	232	461	232	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002366_002367_group.png
2368	2389	461	229	469	259	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002368_002389_group.png
2442	2445	631	129	631	129	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002442_002445_group.png
2474	2515	620	110	665	159	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002474_002515_group.png
2516	2517	468	236	468	236	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002516_002517_group.png
2522	2524	666	141	671	151	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002522_002524_group.png
2525	2529	670	150	671	151	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002525_002529_group.png
2538	2541	698	116	699	119	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002538_002541_group.png
2542	2641	605	106	700	208	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002542_002641_group.png
2647	2649	672	190	673	192	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002647_002649_group.png
2650	2704	666	185	729	210	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002650_002704_group.png
2716	2727	694	154	694	154	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002716_002727_group.png
2827	2833	152	222	152	222	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002827_002833_group.png
3099	3101	790	132	790	132	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003099_003101_group.png
3120	3133	784	120	793	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003120_003133_group.png
3134	3138	465	218	465	218	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003134_003138_group.png
3139	3408	776	105	1181	155	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003139_003408_group.png
3420	3448	871	172	957	214	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003420_003448_group.png
3465	3467	948	180	948	181	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003465_003467_group.png
3474	3551	943	168	1062	198	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003474_003551_group.png
3552	3553	1083	169	1084	170	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003552_003553_group.png
3554	3605	1083	168	1121	203	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003554_003605_group.png
3676	3694	230	188	329	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003676_003694_group.png
3914	4009	795	235	802	250	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003914_004009_group.png
4026	4103	770	232	852	276	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_004026_004103_group.png
4104	4106	863	244	863	244	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_004104_004106_group.png
4107	4158	852	233	915	269	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_004107_004158_group.png
4159	4160	932	243	932	243	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_004159_004160_group.png
4161	4207	921	240	972	282	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_004161_004207_group.png
4848	4851	70	312	427	330	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_004848_004851_group.png
5131	5159	146	232	158	238	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005131_005159_group.png
5222	5293	133	222	175	268	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005222_005293_group.png
5294	5300	155	264	157	266	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005294_005300_group.png
