start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	65	54	927	76	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000000_000000.png
108	109	89	93	89	93	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000108_000109.png
123	125	200	87	200	87	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000123_000125.png
126	130	230	77	230	77	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000126_000130.png
131	133	241	84	241	84	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000131_000133.png
137	140	261	83	261	83	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000137_000140.png
145	146	264	83	264	83	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000145_000146.png
151	152	265	84	265	84	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000151_000152.png
158	160	258	80	258	80	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000158_000160.png
300	301	260	82	260	82	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000300_000301.png
312	313	263	90	264	91	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000312_000313.png
771	772	95	131	95	131	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000771_000772.png
777	780	97	126	97	126	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000777_000780.png
781	782	97	125	97	125	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000781_000782.png
791	795	92	120	92	120	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000791_000795.png
799	801	90	112	90	112	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000799_000801.png
811	812	86	112	93	115	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000811_000812.png
813	814	96	115	96	115	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000813_000814.png
815	816	95	115	95	115	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000815_000816.png
819	844	81	100	100	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000819_000844.png
849	853	106	108	123	130	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000849_000853.png
854	865	105	107	124	128	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000854_000865.png
866	873	124	126	127	132	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000866_000873.png
876	879	151	117	151	117	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000876_000879.png
884	885	142	104	142	104	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000884_000885.png
890	903	139	94	149	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000890_000903.png
904	905	185	121	185	121	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000904_000905.png
906	907	168	114	168	114	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000906_000907.png
908	909	165	121	168	123	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000908_000909.png
910	922	166	113	186	123	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000910_000922.png
927	943	102	58	888	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000927_000943.png
944	966	142	62	885	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000944_000966.png
969	991	143	70	766	138	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000969_000991.png
992	997	279	113	286	135	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000992_000997.png
998	1021	281	97	307	131	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_000998_001021.png
1026	1031	103	184	103	184	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001026_001031.png
1034	1036	101	186	101	186	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001034_001036.png
1046	1049	90	183	95	183	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001046_001049.png
1050	1059	90	179	95	197	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001050_001059.png
1060	1066	99	183	103	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001060_001066.png
1067	1070	95	184	101	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001067_001070.png
1071	1100	71	58	922	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001071_001100.png
1101	1107	260	184	283	189	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001101_001107.png
1108	1120	277	184	280	187	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001108_001120.png
1121	1122	119	181	119	181	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001121_001122.png
1129	1135	109	169	122	193	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001129_001135.png
1139	1150	105	160	109	169	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001139_001150.png
1160	1169	140	169	145	193	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001160_001169.png
1170	1171	133	167	133	167	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001170_001171.png
1172	1181	129	159	167	179	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001172_001181.png
1188	1202	165	167	170	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001188_001202.png
1205	1213	155	159	159	172	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001205_001213.png
1220	1222	187	166	187	166	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001220_001222.png
1228	1234	191	163	196	192	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001228_001234.png
1238	1239	185	165	185	165	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001238_001239.png
1240	1252	183	155	187	170	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001240_001252.png
1259	1268	217	166	221	189	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001259_001268.png
1275	1292	203	151	264	167	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001275_001292.png
1311	1322	65	54	922	191	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001311_001322.png
1323	1326	235	182	242	190	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001323_001326.png
1327	1329	235	180	243	188	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001327_001329.png
1330	1331	236	179	245	185	../SampleVideos/more/mit6041x_1/mit6041x_1_removelogo_fgpixel_objs_noseg/obj_001330_001331.png
