start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	54	23	98	52	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_00.png
0	0	105	25	170	51	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_01.png
0	0	201	25	245	43	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_02.png
0	0	249	31	279	43	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_03.png
0	0	282	25	290	43	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_04.png
0	0	294	33	299	45	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_05.png
0	0	307	25	343	54	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_06.png
0	0	371	34	383	36	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_07.png
0	0	414	26	438	43	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_08.png
0	0	446	24	464	43	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_09.png
0	0	469	25	488	40	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_10.png
0	0	490	26	510	44	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_11.png
0	0	520	25	538	42	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_12.png
0	63	58	55	324	61	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000063_00.png
113	407	390	81	417	106	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_00.png
113	407	423	82	431	101	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_01.png
113	407	437	84	449	102	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_02.png
113	407	458	95	468	97	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_03.png
113	407	477	83	539	115	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_04.png
113	407	564	96	566	107	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_05.png
113	407	589	82	604	98	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_06.png
113	407	608	84	624	97	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_07.png
113	407	630	85	638	93	../SampleVideos/more/ssintro/lec_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000113_000407_08.png
