start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	54	23	538	54	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_000000_000000.png
0	63	58	55	324	61	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_000000_000063.png
113	407	390	69	1055	116	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_000113_000407.png
407	473	382	111	535	115	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_000407_000473.png
558	645	589	106	724	109	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_000558_000645.png
645	768	803	98	954	101	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_000645_000768.png
1156	1543	157	283	587	359	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_001156_001543.png
1543	2119	188	123	529	291	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_001543_002119.png
2422	2641	274	426	568	621	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_002422_002641.png
2641	2751	292	646	384	670	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_002641_002751.png
2751	2940	589	442	726	563	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_002751_002940.png
2944	3026	651	422	724	524	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_002944_003026.png
3029	3417	562	305	748	417	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_003029_003417.png
3417	3486	378	516	804	630	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_003417_003486.png
3498	3620	712	382	783	472	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_003498_003620.png
3660	3924	752	255	1044	300	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_003660_003924.png
4084	4402	751	328	1175	362	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_004084_004402.png
4770	5281	653	232	1151	471	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_004770_005281.png
5281	5367	855	505	881	535	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_005281_005367.png
5377	5583	905	511	1075	543	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_005377_005583.png
5583	5802	905	503	1105	558	..\SampleVideos\more\ssintro\lec_removelogo_fgpixel_objs_noseg/obj_005583_005802.png
