start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry
213	293	291	207	631	362
328	343	532	266	621	309
365	380	685	275	832	290
396	416	679	267	843	295
437	486	232	371	488	506
493	511	744	295	797	353
539	602	176	176	436	343
633	656	654	199	703	269
657	690	718	220	771	257
712	738	269	175	515	344
746	760	795	193	847	242
761	778	587	443	615	489
784	821	655	384	785	551
945	950	154	388	188	413
959	1041	179	173	658	360
1103	1116	635	241	829	262
1119	1172	215	281	776	433
1174	1185	709	297	717	335
1186	1220	127	147	404	329
1242	1260	636	177	679	240
1261	1289	361	144	741	258
1290	1310	200	218	362	331
1316	1381	514	173	817	563
1416	1421	432	220	465	254
1483	1488	192	351	227	376
1506	1633	117	143	596	331
1653	1664	655	224	856	240
1728	1788	104	106	782	419
1795	1905	348	111	850	239
1941	1983	604	366	755	545
2028	2042	791	431	829	459
2119	2133	623	357	730	424
2135	2169	594	380	722	548
2325	2380	643	371	976	530
2442	2447	432	233	689	519
2504	2509	95	161	130	187
2684	2730	115	132	344	323
2747	2767	290	207	372	285
2769	2817	290	126	593	309
2828	2872	525	212	845	316
2874	2897	627	125	725	210
2898	2912	720	125	765	197
2913	2974	557	127	848	509
2975	3117	607	396	980	567
3204	3209	11	19	46	44
3216	3281	87	120	435	322
3283	3318	368	170	741	299
3336	3355	637	192	843	232
3357	3422	720	240	808	306
3423	3461	621	129	760	204
3463	3525	558	105	853	565
3609	3611	0	50	8	64
3709	3785	111	73	567	228
4122	4196	84	81	360	423
4231	4291	376	193	550	425
4292	4301	515	329	566	372
4343	4389	202	347	834	504
4398	4412	246	319	396	396
4415	4625	519	275	839	574
4627	4684	786	457	838	530
4698	4735	850	417	924	532
