start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
313	323	171	206	510	362	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000313_000323_group.png
330	353	578	266	621	309	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000330_000353_group.png
373	393	684	275	832	291	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000373_000393_group.png
404	417	679	267	843	295	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000404_000417_group.png
439	490	232	370	489	507	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000439_000490_group.png
492	515	744	295	797	354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000492_000515_group.png
540	604	176	176	436	343	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000540_000604_group.png
635	694	653	198	771	269	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000635_000694_group.png
714	741	269	175	515	344	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000714_000741_group.png
744	760	795	193	848	243	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000744_000779_group_01.png
765	779	587	443	616	490	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000744_000779_group_00.png
789	822	655	384	785	551	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000789_000822_group.png
961	1058	111	892	591	1079	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_000961_001058_group.png
1110	1119	634	960	829	981	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_001110_001119_group.png
1121	1227	127	866	778	1152	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_001121_001227_group.png
1249	1313	202	863	741	1050	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_001249_001313_group.png
1328	1342	769	892	817	960	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001328_001385_group_03.png
1348	1369	587	1115	727	1282	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001328_001385_group_02.png
1375	1385	514	1195	551	1231	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001328_001385_group_01.png
1534	1636	117	1581	597	1769	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_001534_001636_group.png
1658	1671	654	1662	856	1679	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_001658_001671_group.png
1730	1791	104	1544	782	1857	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_001730_001791_group.png
1850	1911	348	1549	850	1677	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_001850_001911_group.png
1943	1983	604	1803	755	1983	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_001943_001983_group.png
2028	2046	790	1869	829	1898	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002028_002046_group.png
2082	2176	594	1795	730	1979	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002082_002176_group.png
2264	2384	865	1815	976	1938	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002264_002384_group.png
2682	2734	115	2290	344	2480	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002682_002734_group.png
2753	2779	301	2363	372	2426	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002753_002779_group.png
2783	2823	408	2283	593	2466	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002783_002823_group.png
2830	2873	658	2369	845	2473	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002830_002873_group.png
2876	2897	627	2296	683	2367	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002876_002897_group.png
2902	2912	720	2322	766	2354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate//consecutive/obj_002902_002912_group.png
2915	3118	782	2284	848	2345	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002915_003118_group_00.png
