start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
313	323	171	217	271	362	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000313_000323_group_00.png
313	323	316	279	380	341	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000313_000323_group_01.png
313	323	424	206	510	362	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000313_000323_group_02.png
330	353	578	266	621	309	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000330_000353_group_00.png
373	393	684	275	832	291	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000373_000393_group_00.png
404	417	679	267	843	295	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000404_000417_group_00.png
439	490	232	370	489	507	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000439_000490_group_00.png
492	515	744	295	797	354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000492_000515_group_00.png
540	604	176	176	344	299	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000540_000604_group_00.png
540	604	355	295	366	302	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000540_000604_group_01.png
540	604	368	308	436	343	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000540_000604_group_02.png
635	694	653	198	703	269	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000635_000694_group_00.png
635	694	717	220	771	257	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000635_000694_group_01.png
714	741	269	288	335	344	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000714_000741_group_00.png
714	741	338	175	515	284	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000714_000741_group_01.png
744	760	795	193	848	243	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000744_000779_group_01_00.png
765	779	587	443	616	490	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000744_000779_group_00_00.png
789	822	655	384	785	551	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000789_000822_group_00.png
961	1058	111	892	225	1079	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000961_001058_group_00.png
961	1058	276	981	324	1028	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000961_001058_group_01.png
961	1058	388	896	482	1059	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000961_001058_group_02.png
961	1058	554	965	591	1002	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_000961_001058_group_03.png
1110	1119	634	960	829	981	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001110_001119_group_00.png
1121	1227	127	866	460	1152	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001121_001227_group_00.png
1121	1227	703	1004	718	1055	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001121_001227_group_01.png
1121	1227	734	999	778	1052	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001121_001227_group_02.png
1249	1313	202	863	468	1050	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001249_001313_group_00.png
1249	1313	636	896	679	959	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001249_001313_group_01.png
1249	1313	698	914	741	959	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001249_001313_group_02.png
1328	1342	769	892	817	960	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001328_001385_group_03_00.png
1348	1369	587	1115	727	1282	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001328_001385_group_02_00.png
1375	1385	514	1195	551	1231	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001328_001385_group_01_00.png
1534	1636	117	1589	218	1769	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001534_001636_group_00.png
1534	1636	284	1691	346	1740	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001534_001636_group_01.png
1534	1636	387	1581	490	1767	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001534_001636_group_02.png
1534	1636	558	1661	597	1698	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001534_001636_group_03.png
1658	1671	654	1662	856	1679	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001658_001671_group_00.png
1730	1791	104	1544	462	1857	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001730_001791_group_00.png
1730	1791	731	1689	782	1761	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001730_001791_group_01.png
1850	1911	348	1549	486	1677	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001850_001911_group_00.png
1850	1911	630	1578	688	1655	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001850_001911_group_01.png
1850	1911	728	1603	772	1645	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001850_001911_group_02.png
1850	1911	802	1576	850	1645	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001850_001911_group_03.png
1943	1983	604	1803	755	1983	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_001943_001983_group_00.png
2028	2046	790	1869	829	1898	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002028_002046_group_00.png
2082	2176	594	1818	639	1971	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002082_002176_group_00.png
2082	2176	647	1795	730	1979	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002082_002176_group_01.png
2264	2384	865	1853	880	1932	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002264_002384_group_00.png
2264	2384	901	1815	976	1938	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002264_002384_group_01.png
2682	2734	115	2290	255	2480	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002682_002734_group_00.png
2682	2734	332	2394	344	2410	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002682_002734_group_01.png
2753	2779	301	2363	372	2426	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002753_002779_group_00.png
2783	2823	408	2283	516	2466	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//xcut/obj_002783_002823_group_00.png
