start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
313	323	213	206	456	262	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000313_000323_group_00.png
313	323	171	264	510	362	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000313_000323_group_01.png
330	353	578	266	614	284	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000330_000353_group_00.png
330	353	585	293	621	309	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000330_000353_group_01.png
373	393	684	275	832	291	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000373_000393_group_00.png
404	417	679	267	843	295	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000404_000417_group_00.png
439	490	232	370	489	445	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000439_000490_group_00.png
439	490	327	462	376	507	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000439_000490_group_01.png
492	515	744	295	797	354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000492_000515_group_00.png
540	604	176	176	366	302	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000540_000604_group_00.png
540	604	368	308	436	343	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000540_000604_group_01.png
635	694	653	198	771	269	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000635_000694_group_00.png
714	741	338	175	515	284	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000714_000741_group_00.png
714	741	269	288	335	344	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000714_000741_group_01.png
744	760	795	193	848	243	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000744_000779_group_01_00.png
765	779	588	443	616	461	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000744_000779_group_00_00.png
765	779	587	474	616	490	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000744_000779_group_00_01.png
789	822	699	384	744	444	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000789_000822_group_00.png
789	822	655	451	785	473	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000789_000822_group_01.png
789	822	703	479	768	551	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000789_000822_group_02.png
961	1058	111	892	591	1079	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_000961_001058_group_00.png
1110	1119	634	960	829	981	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001110_001119_group_00.png
1121	1227	127	866	778	1055	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001121_001227_group_00.png
1121	1227	214	1073	460	1152	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001121_001227_group_01.png
1249	1313	292	863	741	977	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001249_001313_group_00.png
1249	1313	202	979	291	1050	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001249_001313_group_01.png
1328	1342	769	892	817	960	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001328_001385_group_03_00.png
1348	1369	636	1115	681	1169	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001328_001385_group_02_00.png
1348	1369	587	1190	720	1210	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001328_001385_group_02_01.png
1348	1369	635	1217	727	1282	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001328_001385_group_02_02.png
1375	1385	514	1195	551	1231	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001328_001385_group_01_00.png
1534	1636	151	1581	453	1649	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001534_001636_group_00.png
1534	1636	117	1655	597	1769	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001534_001636_group_01.png
1658	1671	654	1662	856	1679	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001658_001671_group_00.png
1730	1791	104	1544	243	1655	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001730_001791_group_00.png
1730	1791	731	1689	782	1761	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001730_001791_group_01.png
1730	1791	204	1776	462	1857	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001730_001791_group_02.png
1850	1911	348	1549	850	1677	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001850_001911_group_00.png
1943	1983	648	1803	731	1868	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001943_001983_group_00.png
1943	1983	604	1874	755	1896	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001943_001983_group_01.png
1943	1983	653	1908	712	1983	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_001943_001983_group_02.png
2028	2046	790	1869	822	1882	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002028_002046_group_00.png
2028	2046	800	1886	829	1898	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002028_002046_group_01.png
2082	2176	710	1795	730	1811	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002082_002176_group_00.png
2082	2176	594	1817	706	1866	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002082_002176_group_01.png
2082	2176	595	1908	722	1979	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002082_002176_group_02.png
2264	2384	926	1815	936	1850	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002264_002384_group_00.png
2264	2384	865	1853	976	1938	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002264_002384_group_01.png
2682	2734	143	2290	202	2369	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002682_002734_group_00.png
2682	2734	115	2374	344	2410	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002682_002734_group_01.png
2682	2734	159	2416	225	2480	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002682_002734_group_02.png
2753	2779	301	2363	372	2426	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002753_002779_group_00.png
2783	2823	458	2283	467	2337	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002783_002823_group_00.png
2783	2823	408	2349	593	2466	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002783_002823_group_01.png
2830	2873	658	2369	845	2397	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002830_002873_group_00.png
2830	2873	715	2419	813	2473	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002830_002873_group_01.png
2876	2897	627	2296	683	2367	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002876_002897_group_00.png
2902	2912	720	2322	766	2354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002902_002912_group_00.png
2915	3118	782	2284	848	2345	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/negate/consecutive//ycut/obj_002915_003118_group_00_00.png
