start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
313	323	171	206	510	362	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000313_000323.png
330	353	578	266	621	309	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000330_000353.png
373	393	684	275	832	291	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000373_000393.png
404	417	679	267	843	295	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000404_000417.png
439	490	232	370	489	507	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000439_000490.png
492	515	744	295	797	354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000492_000515.png
540	604	176	176	436	343	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000540_000604.png
635	694	653	198	771	269	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000635_000694.png
714	741	269	175	515	344	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000714_000741.png
744	779	587	193	848	490	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000744_000779.png
789	822	655	384	785	551	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000789_000822.png
961	1058	111	892	591	1079	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_000961_001058.png
1110	1119	634	960	829	981	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001110_001119.png
1121	1227	127	866	778	1152	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001121_001227.png
1249	1313	202	863	741	1050	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001249_001313.png
1328	1385	504	892	817	1282	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001328_001385.png
1534	1623	117	1581	582	1769	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001534_001623.png
1624	1636	558	1661	597	1698	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001624_001636.png
1658	1671	654	1662	856	1679	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001658_001671.png
1730	1791	104	1544	782	1857	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001730_001791.png
1850	1911	348	1549	850	1677	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001850_001911.png
1943	1983	604	1803	755	1983	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_001943_001983.png
2028	2046	790	1869	829	1898	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002028_002046.png
2082	2176	594	1795	730	1979	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002082_002176.png
2264	2384	865	1815	976	1938	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002264_002384.png
2682	2734	115	2290	344	2480	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002682_002734.png
2753	2779	301	2363	372	2426	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002753_002779.png
2783	2823	408	2283	593	2466	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002783_002823.png
2830	2873	658	2369	845	2473	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002830_002873.png
2876	2897	627	2296	683	2367	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002876_002897.png
2902	2912	720	2322	766	2354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002902_002912.png
2915	3118	557	2284	980	2724	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_002915_003118.png
3226	3277	87	2996	435	3198	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_003226_003277.png
3281	3304	368	3070	529	3176	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_003281_003304.png
3305	3320	496	3067	538	3105	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg_5/cleanup/obj_003305_003320.png
