start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
310	328	170	206	510	363	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000310_000328.png
329	354	209	266	621	361	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000329_000354.png
366	392	615	270	833	292	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000366_000392.png
401	426	579	267	844	296	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000401_000426.png
438	520	232	292	797	507	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000438_000520.png
524	532	343	444	362	476	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000524_000532.png
540	551	745	331	784	353	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000540_000551.png
557	605	176	176	437	343	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000557_000605.png
617	742	268	174	771	345	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000617_000742.png
747	784	271	192	849	490	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000747_000784.png
789	822	587	384	786	551	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000789_000822.png
824	832	704	543	704	543	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000824_000832.png
960	1060	111	892	591	1080	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_000960_001060.png
1063	1086	154	909	560	1059	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001063_001086.png
1099	1228	126	865	829	1153	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001099_001228.png
1248	1314	139	862	742	1051	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001248_001314.png
1317	1386	503	891	817	1283	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001317_001386.png
1551	1648	116	1581	597	1770	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001551_001648.png
1649	1674	596	1661	857	1689	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001649_001674.png
1729	1793	103	1544	783	1858	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001729_001793.png
1796	1912	105	1548	851	1677	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001796_001912.png
1942	1948	650	1625	817	1834	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001942_001948.png
1949	1985	125	1576	755	1984	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_001949_001985.png
2029	2046	653	1868	829	1934	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002029_002046.png
2068	2074	789	1877	791	1882	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002068_002074.png
2079	2180	593	1795	731	1979	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002079_002180.png
2199	2240	606	1951	620	1967	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002199_002240.png
2248	2327	628	1911	669	1971	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002248_002327.png
2333	2406	626	1815	977	1938	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002333_002406.png
2666	2740	114	2289	345	2481	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002666_002740.png
2753	2824	158	2282	594	2481	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002753_002824.png
2829	2991	507	2284	848	2724	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002829_002991.png
2992	3031	517	2353	795	2723	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_002992_003031.png
3033	3125	640	2552	980	2712	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003033_003125.png
3135	3144	932	2645	953	2673	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003135_003144.png
3151	3155	952	2635	954	2637	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003151_003155.png
3217	3321	87	2996	539	3198	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003217_003321.png
3337	3357	636	3067	844	3109	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003337_003357.png
3365	3534	557	2980	854	3442	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003365_003534.png
3554	3560	653	3397	702	3424	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003554_003560.png
3710	3788	111	3667	567	3824	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003710_003788.png
3809	3814	218	3760	444	3787	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003809_003814.png
3859	3880	517	3773	546	3804	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003859_003880.png
3899	3905	521	3744	521	3744	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_003899_003905.png
4004	4312	83	3863	566	4020	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_004004_004312.png
4319	4340	523	3929	544	3956	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_004319_004340.png
4344	4574	200	3870	840	4170	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_004344_004574.png
4575	4667	584	4033	609	4082	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_004575_004667.png
4668	4686	614	4041	839	4125	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_004668_004686.png
4694	4738	788	4011	925	4128	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg//cleanup/obj_004694_004738.png
