start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	2618	162	37	603	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000000.png
692	2811	91	159	634	233	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000001.png
1515	2996	89	238	565	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000002.png
4672	11188	117	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000003.png
5280	5488	114	808	466	832	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000004.png
5679	6592	31	857	910	922	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000005.png
6648	16413	29	925	902	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000006.png
7412	7562	94	991	675	1012	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000007.png
7827	10414	130	1039	529	1129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000008.png
8761	11725	157	1144	705	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000009.png
11820	11911	65	1105	136	1210	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000010.png
11938	12673	752	1005	1265	1217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000011.png
12712	12872	97	1244	514	1290	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000012.png
13500	13915	113	1327	501	1377	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000013.png
14114	16030	46	1446	718	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000014.png
15698	16050	55	1536	496	1589	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000015.png
17265	21422	97	2157	616	2288	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000016.png
17999	25078	96	2303	1061	2383	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000017.png
24311	24766	133	2433	869	2492	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000018.png
