start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	2618	162	37	603	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000000_000000.png
692	2811	91	159	634	233	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000001_000000.png
352	2618	162	37	603	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000000_000001.png
692	2811	91	159	634	233	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000001_000001.png
352	2618	162	37	603	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000000_000002.png
692	2811	91	159	634	233	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000001_000002.png
352	2618	162	37	603	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000000_000003.png
692	2811	91	159	634	233	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000001_000003.png
1515	2996	89	238	565	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000002_000000.png
352	2618	162	37	603	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000000_000004.png
692	2811	91	159	634	233	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000001_000004.png
1515	2996	89	238	565	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000002_000001.png
4672	11188	117	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000003_000000.png
5280	5488	114	808	466	832	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000004_000000.png
5679	6592	31	857	910	922	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000005_000000.png
6648	16413	29	925	902	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000006_000000.png
7412	7562	94	991	675	1012	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000007_000000.png
7827	10414	130	1039	529	1129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000008_000000.png
4672	11188	117	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000003_000001.png
7827	10414	130	1039	529	1129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000008_000001.png
8761	11725	157	1144	705	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000009_000000.png
7827	10414	130	1039	529	1129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000008_000002.png
8761	11725	157	1144	705	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000009_000001.png
6648	16413	29	925	902	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000006_000001.png
4672	11188	117	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000003_000002.png
8761	11725	157	1144	705	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000009_000002.png
11820	11911	65	1105	136	1210	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000010_000000.png
11938	12673	752	1005	1265	1217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000011_000000.png
12712	12872	97	1244	514	1290	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000012_000000.png
13500	13915	113	1327	501	1377	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000013_000000.png
14114	16030	46	1446	718	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000014_000000.png
15698	16050	55	1536	496	1589	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000015_000000.png
14114	16030	46	1446	718	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000014_000001.png
15698	16050	55	1536	496	1589	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000015_000001.png
6648	16413	29	925	902	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000006_000002.png
17265	21422	97	2157	616	2288	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000016_000000.png
17999	25078	96	2303	1061	2383	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000017_000000.png
17265	21422	97	2157	616	2288	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000016_000001.png
17999	25078	96	2303	1061	2383	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000017_000001.png
17265	21422	97	2157	616	2288	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000016_000002.png
17999	25078	96	2303	1061	2383	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000017_000002.png
17265	21422	97	2157	616	2288	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000016_000003.png
17999	25078	96	2303	1061	2383	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000017_000003.png
17265	21422	97	2157	616	2288	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000016_000004.png
17999	25078	96	2303	1061	2383	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000017_000004.png
24311	24766	133	2433	869	2492	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000018_000000.png
17999	25078	96	2303	1061	2383	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000017_000005.png
