start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	673	162	57	456	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_000352_000673_group.png
692	753	91	172	222	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_000692_000753_group.png
855	916	215	37	421	74	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_000855_000916_group.png
946	990	231	197	320	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_000946_000990_group.png
1157	1196	262	63	353	87	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001157_001196_group.png
1232	1262	338	198	405	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001232_001262_group.png
1317	1354	267	86	427	129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001317_001354_group.png
1383	1417	420	192	475	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001383_001417_group.png
1515	1897	89	238	380	283	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001515_001897_group.png
2143	2156	334	98	344	271	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002143_002156_group.png
2496	2626	484	56	603	97	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002496_002626_group.png
2684	2705	137	164	212	223	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002684_002705_group.png
2728	2861	314	159	634	233	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002728_002861_group.png
2890	2900	126	241	143	294	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002890_002900_group.png
