start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	359	162	63	182	96	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000352_000359_group_00.png
370	389	193	70	220	94	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000370_000389_group_00.png
400	405	237	79	249	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000400_000405_group_00.png
410	428	266	70	270	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000410_000428_group_00.png
410	428	273	62	291	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000410_000428_group_01.png
438	462	329	64	347	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000438_000462_group_00.png
438	462	349	69	378	90	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000438_000462_group_01.png
467	471	397	78	408	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000467_000471_group_00.png
477	507	422	57	456	99	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000477_000507_group_00.png
618	642	211	99	345	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000618_000642_group_00.png
649	673	322	96	352	116	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000649_000673_group_00.png
692	726	161	193	197	213	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000692_000726_group_00.png
692	726	201	172	222	192	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000692_000726_group_01.png
734	753	91	197	119	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000734_000753_group_00.png
855	916	215	37	421	74	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000855_000916_group_00.png
946	990	231	203	252	206	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000946_000990_group_00.png
946	990	265	197	283	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000946_000990_group_01.png
946	990	289	202	320	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000946_000990_group_02.png
1157	1196	262	75	266	80	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001157_001196_group_00.png
1157	1196	270	68	282	75	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001157_001196_group_01.png
1157	1196	285	63	353	87	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001157_001196_group_02.png
1232	1239	338	206	360	210	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001232_001239_group_00.png
1245	1262	366	198	405	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001245_001262_group_00.png
1317	1354	267	95	298	123	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001317_001354_group_00.png
1317	1354	300	86	427	129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001317_001354_group_01.png
1383	1414	420	195	442	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001383_001414_group_00.png
1383	1414	446	192	475	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001383_001414_group_01.png
1515	1539	89	247	112	266	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001515_001539_group_00.png
1569	1586	145	253	167	274	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001569_001586_group_00.png
