start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	1	0	1280	0	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000000_000000_group.png
352	359	162	63	182	96	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000352_000359_group.png
370	382	193	72	209	93	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000370_000382_group.png
385	389	206	70	220	94	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000385_000389_group.png
400	405	237	79	249	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000400_000405_group.png
410	428	266	62	291	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000410_000428_group.png
438	445	329	64	363	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000438_000445_group.png
449	462	349	69	378	90	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000449_000462_group.png
467	471	397	64	419	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000467_000471_group.png
477	491	422	70	442	91	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000477_000491_group.png
494	507	438	57	456	99	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000494_000507_group.png
618	642	211	99	345	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000618_000642_group.png
649	673	322	96	352	116	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000649_000673_group.png
692	702	161	195	182	213	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000692_000702_group.png
705	712	178	193	197	211	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000705_000712_group.png
714	726	201	172	222	192	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000714_000726_group.png
734	753	91	197	119	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000734_000753_group.png
855	864	215	41	274	61	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000855_000864_group.png
866	893	272	37	420	69	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000866_000893_group.png
897	901	401	64	421	69	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000897_000901_group.png
903	904	400	58	417	70	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000903_000904_group.png
906	916	405	55	421	74	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000906_000916_group.png
946	947	231	203	232	205	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000946_000947_group.png
950	954	231	203	252	206	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000950_000954_group.png
957	964	266	197	283	220	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000957_000964_group.png
966	970	265	217	282	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000966_000970_group.png
972	974	289	204	295	210	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000972_000974_group.png
976	982	292	202	315	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000976_000982_group.png
984	986	302	202	320	214	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000984_000986_group.png
988	990	314	205	316	205	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000988_000990_group.png
1157	1158	262	78	262	80	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001157_001158_group.png
1160	1178	263	63	353	81	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001160_001178_group.png
1180	1192	336	75	351	83	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001180_001192_group.png
1194	1196	341	66	359	87	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001194_001196_group.png
1232	1239	338	206	360	210	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001232_001239_group.png
1245	1255	366	199	396	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001245_001255_group.png
1257	1262	386	198	405	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001257_001262_group.png
1317	1339	267	86	421	129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001317_001339_group.png
1341	1345	406	88	421	94	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001341_001345_group.png
1347	1354	405	87	427	109	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001347_001354_group.png
1383	1384	433	196	435	199	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001383_001384_group.png
1386	1388	429	195	434	214	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001386_001388_group.png
1390	1395	429	204	432	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001390_001395_group.png
1397	1401	420	204	442	209	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001397_001401_group.png
1405	1409	453	192	464	201	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001405_001409_group.png
1411	1414	446	200	475	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001411_001414_group.png
1515	1527	90	247	109	265	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001515_001527_group.png
