start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	1	0	1280	0	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000000_000000.png
352	353	175	63	182	67	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000352_000353.png
354	359	162	65	182	96	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000354_000359.png
370	372	195	72	204	76	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000370_000372.png
373	377	193	75	209	93	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000373_000377.png
378	382	198	85	208	93	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000378_000382.png
385	389	206	70	220	94	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000385_000389.png
400	401	237	80	240	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000400_000401.png
402	405	237	79	249	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000402_000405.png
410	414	266	70	270	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000410_000414.png
415	426	267	62	291	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000415_000426.png
427	428	287	89	291	93	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000427_000428.png
438	440	337	64	347	71	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000438_000440.png
441	445	329	66	363	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000441_000445.png
449	454	349	72	367	88	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000449_000454.png
455	457	359	70	374	89	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000455_000457.png
458	462	367	69	378	90	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000458_000462.png
467	471	397	64	419	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000467_000471.png
477	479	422	77	422	87	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000477_000479.png
480	483	422	70	432	78	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000480_000483.png
484	491	422	72	442	91	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000484_000491.png
494	507	438	57	456	99	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg//cleanup/obj_000494_000507.png
