start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	353	175	63	182	66	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000352_000353.png
354	359	162	65	183	96	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000354_000359.png
370	372	195	72	204	76	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000370_000372.png
373	377	193	75	209	93	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000373_000377.png
378	382	198	75	208	93	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000378_000382.png
385	389	206	70	220	94	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000385_000389.png
400	401	240	80	240	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000400_000401.png
402	405	237	79	249	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000402_000405.png
410	414	266	70	270	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000410_000414.png
415	426	267	62	291	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000415_000426.png
427	428	287	89	291	93	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000427_000428.png
438	440	341	64	347	67	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000438_000440.png
441	445	329	66	342	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000441_000445.png
449	454	349	72	367	87	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000449_000454.png
455	457	359	70	374	89	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000455_000457.png
458	462	360	69	378	91	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000458_000462.png
467	471	397	78	408	82	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000467_000471.png
480	483	422	70	432	78	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000480_000483.png
484	491	422	72	442	91	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000484_000491.png
494	507	428	57	456	99	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000494_000507.png
509	514	363	72	442	90	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000509_000514.png
516	520	363	69	375	77	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000516_000520.png
524	526	164	89	182	96	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000524_000526.png
588	595	273	63	275	66	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000588_000595.png
618	621	211	102	215	106	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000618_000621.png
622	638	215	106	327	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000622_000638.png
639	642	323	99	343	111	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000639_000642.png
649	673	322	96	352	116	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000649_000673.png
692	702	161	195	182	213	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000692_000702.png
705	712	178	193	197	211	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000705_000712.png
714	717	201	172	212	180	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000714_000717.png
718	726	203	174	222	192	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000718_000726.png
734	736	93	197	95	199	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000734_000736.png
737	739	91	198	110	202	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000737_000739.png
740	746	99	199	113	202	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000740_000746.png
747	753	92	200	120	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000747_000753.png
777	779	110	212	119	214	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000777_000779.png
781	782	107	212	117	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000781_000782.png
785	788	118	215	118	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000785_000788.png
795	796	241	131	262	142	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000795_000796.png
798	799	251	135	252	135	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000798_000799.png
855	858	215	55	227	61	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000855_000858.png
859	860	225	51	241	57	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000859_000860.png
861	864	238	41	274	51	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000861_000864.png
866	871	272	37	312	43	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000866_000871.png
872	875	309	39	334	44	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000872_000875.png
876	877	334	41	350	44	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000876_000877.png
878	880	344	43	369	48	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000878_000880.png
881	884	363	48	394	53	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000881_000884.png
885	889	386	53	414	63	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000885_000889.png
890	893	413	61	420	69	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000890_000893.png
897	898	417	64	421	68	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000897_000898.png
899	901	405	57	416	67	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000899_000901.png
903	904	400	56	415	69	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000903_000904.png
906	910	404	56	419	71	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000906_000910.png
911	916	416	55	421	74	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000911_000916.png
926	927	317	106	331	117	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000926_000927.png
946	947	231	203	231	204	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000946_000947.png
950	954	231	203	252	206	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000950_000954.png
957	958	270	203	270	204	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000957_000958.png
959	964	267	197	283	219	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000959_000964.png
966	970	265	217	282	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000966_000970.png
972	974	280	204	295	210	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000972_000974.png
976	982	291	203	312	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000976_000982.png
984	986	302	202	320	214	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000984_000986.png
988	990	314	205	316	206	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_000988_000990.png
1007	1010	1	26	9	47	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001007_001010.png
1087	1088	330	80	330	81	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001087_001088.png
1092	1094	331	96	352	115	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001092_001094.png
1096	1098	331	99	342	113	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001096_001098.png
1104	1107	281	100	281	100	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001104_001107.png
1110	1111	283	102	283	102	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001110_001111.png
1112	1113	280	101	284	102	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001112_001113.png
1114	1115	280	97	285	101	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001114_001115.png
1117	1122	284	97	284	99	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001117_001122.png
1125	1126	269	87	269	95	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001125_001126.png
1128	1132	270	89	284	101	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001128_001132.png
1134	1137	267	81	270	92	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001134_001137.png
1139	1141	267	66	288	80	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001139_001141.png
1147	1148	267	64	285	75	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001147_001148.png
1150	1151	267	71	269	89	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001150_001151.png
1152	1154	266	70	268	88	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/obj_001152_001154.png
