start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	16	0	663	82	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000000.png
287	586	49	106	306	154	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000001.png
787	1026	32	170	296	200	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000002.png
1049	1909	28	208	707	252	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000003.png
1993	2511	48	261	621	304	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000004.png
2651	3815	95	326	657	386	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000005.png
3894	4129	183	410	462	444	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000006.png
4629	5352	26	483	647	571	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000007.png
5438	5839	30	593	564	639	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000008.png
5850	7735	40	654	589	694	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000009.png
6576	7913	209	693	652	734	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000010.png
6990	7847	35	737	515	780	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000011.png
8021	8399	101	798	610	826	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000012.png
8466	8902	105	833	627	866	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000013.png
9054	10169	44	865	673	939	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/line000014.png
