start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	16	0	663	82	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000000.png
287	586	49	106	306	154	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000000.png
787	937	32	170	185	200	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000001.png
949	1026	205	174	296	196	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000002.png
1049	1453	28	208	476	252	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000002.png
1472	1909	370	218	707	244	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000003.png
1993	2232	48	268	307	304	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000004.png
2245	2400	322	265	494	293	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000005.png
2411	2511	512	261	621	284	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000006.png
2651	2661	96	332	103	355	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000006.png
2667	2933	95	327	367	356	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000007.png
2939	3127	323	326	504	386	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000008.png
3137	3605	331	337	657	385	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000009.png
3755	3815	542	331	582	383	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000010.png
3894	4129	183	410	462	444	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000010.png
4629	4753	57	483	315	526	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000012.png
4854	5086	26	534	306	571	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000013.png
5092	5352	307	526	647	571	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000014.png
5438	5839	30	593	564	639	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000014.png
5850	6431	40	654	567	690	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000014.png
6576	6958	209	693	652	732	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000014.png
6990	7287	35	739	316	776	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000014.png
7302	7659	196	737	515	780	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000015.png
7695	7735	202	679	589	694	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000015.png
7818	7847	394	770	511	773	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000015.png
7872	7913	222	724	627	734	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000016.png
8021	8399	101	798	610	826	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000017.png
8466	8902	105	833	627	866	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000017.png
9054	9382	44	870	359	930	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000017.png
9422	9440	379	887	401	897	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000018.png
9459	10169	256	865	673	939	../SampleVideos/more/video1/video1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000019.png
