start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	85	16	535	129	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000000_000000.png
2	19	273	108	275	113	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000002_000019.png
21	25	279	107	281	112	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000021_000025.png
32	34	267	111	269	116	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000032_000034.png
36	39	267	110	269	115	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000036_000039.png
60	62	265	108	267	113	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000060_000062.png
89	91	263	98	265	103	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000089_000091.png
113	125	213	76	215	81	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000113_000125.png
131	140	189	39	234	41	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000131_000140.png
142	149	169	69	171	74	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000142_000149.png
151	154	177	75	179	80	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000151_000154.png
156	162	179	79	181	84	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000156_000162.png
163	171	179	84	181	89	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000163_000171.png
180	184	309	29	311	34	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000180_000184.png
204	211	393	31	395	33	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000204_000211.png
213	219	387	31	389	36	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000213_000219.png
221	224	385	31	387	37	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000221_000224.png
228	237	387	51	389	56	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000228_000237.png
239	249	387	58	389	63	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000239_000249.png
255	257	385	60	387	65	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000255_000257.png
279	281	461	19	463	24	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000279_000281.png
286	287	441	22	443	27	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000286_000287.png
292	296	431	27	442	38	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000292_000296.png
300	315	432	38	455	67	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000300_000315.png
317	323	449	63	455	71	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000317_000323.png
324	327	447	67	449	72	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000324_000327.png
328	339	409	82	411	87	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000328_000339.png
341	344	407	85	409	90	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000341_000344.png
351	355	407	86	409	91	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000351_000355.png
358	364	407	87	409	92	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000358_000364.png
368	371	405	88	407	93	../SampleVideos/more/video2/video2_removelogo_fgpixel_objs_noseg/obj_000368_000371.png
