start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
483	557	210	23	401	75	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000483_000557_group.png
607	641	461	28	479	42	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000607_000641_group.png
679	713	494	28	538	44	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000679_000713_group.png
740	833	559	25	589	43	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000740_000833_group.png
1208	1241	172	95	191	124	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001208_001241_group.png
1269	1520	195	82	458	161	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001269_001520_group.png
1528	1733	254	177	460	243	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001528_001733_group.png
1745	1913	489	171	591	218	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001745_001913_group.png
1919	1988	579	154	617	233	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001919_001988_group.png
1990	2262	645	155	744	236	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001990_002262_group.png
2319	2573	748	148	877	231	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002319_002573_group.png
2749	3036	225	263	488	306	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002749_003036_group.png
3065	3161	185	317	260	353	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003065_003161_group.png
3191	3291	303	317	363	389	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003191_003291_group.png
3293	3368	370	337	459	371	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003293_003368_group.png
3384	3407	232	429	243	439	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003384_003407_group.png
3415	3485	256	390	297	478	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003415_003485_group.png
3488	3651	308	411	431	457	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003488_003651_group.png
3670	3906	453	378	585	464	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003670_003906_group.png
3911	3931	596	420	605	430	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003911_003931_group.png
3946	4283	232	387	711	512	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003946_004283_group.png
4297	4502	324	484	501	511	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_004297_004502_group.png
4528	4857	183	537	513	587	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_004528_004857_group.png
5082	5166	241	605	287	627	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005082_005166_group.png
5202	5321	319	594	387	651	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005202_005321_group.png
5323	5360	370	609	418	627	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005323_005360_group.png
5363	5403	465	603	527	632	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005363_005403_group.png
5525	5572	261	677	282	705	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005525_005572_group.png
5577	5623	273	694	301	715	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005577_005623_group.png
5645	5693	324	683	377	724	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005645_005693_group.png
5696	5981	391	669	532	730	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005696_005981_group.png
6040	6101	210	759	292	785	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_006040_006101_group.png
6161	6200	328	761	347	785	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_006161_006200_group.png
6208	6498	207	753	562	842	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_006208_006498_group.png
