start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
483	557	211	25	253	60	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000483_000557_00.png
483	557	255	36	259	50	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000483_000557_01.png
483	557	264	34	273	53	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000483_000557_02.png
483	557	307	43	319	52	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000483_000557_03.png
483	557	356	26	397	73	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000483_000557_04.png
607	641	461	28	479	42	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000607_000641_00.png
679	713	494	31	496	31	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000679_000713_00.png
679	713	498	28	511	44	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000679_000713_01.png
679	713	524	31	538	41	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000679_000713_02.png
740	833	559	31	569	43	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000740_000833_00.png
740	833	578	25	589	41	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_000740_000833_01.png
1208	1241	172	95	191	124	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_001208_001241_00.png
1269	1340	195	96	222	125	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_001269_001340_00.png
1269	1340	226	98	234	126	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//xcut/obj_001269_001340_01.png
