start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
483	557	211	25	397	73	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_000483_000557_00.png
607	641	461	28	479	42	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_000607_000641_00.png
679	713	494	28	538	44	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_000679_000713_00.png
740	833	559	25	589	43	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_000740_000833_00.png
1208	1241	172	95	191	124	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001208_001241_00.png
1269	1340	195	96	256	126	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001269_001340_00.png
1341	1496	317	82	325	98	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001341_001496_00.png
1341	1496	296	100	432	146	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001341_001496_01.png
1341	1496	293	152	305	161	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001341_001496_02.png
1497	1520	441	116	458	128	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001497_001520_00.png
1528	1541	255	200	263	202	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001528_001541_00.png
1528	1541	256	206	266	207	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001528_001541_01.png
1542	1721	286	177	429	243	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001542_001721_00.png
1722	1733	451	197	460	199	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001722_001733_00.png
1722	1733	453	205	464	207	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001722_001733_01.png
1745	1913	489	171	591	218	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001745_001913_00.png
1919	1988	599	154	606	169	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001919_001988_00.png
1919	1988	631	194	639	196	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001919_001988_01.png
1919	1988	631	199	641	203	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001919_001988_02.png
1919	1988	621	223	632	233	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001919_001988_03.png
1990	2262	651	159	709	189	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001990_002262_00.png
1990	2262	649	192	744	203	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001990_002262_01.png
1990	2262	650	206	724	231	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_001990_002262_02.png
2319	2573	751	152	860	188	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_002319_002573_00.png
2319	2573	756	195	871	200	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_002319_002573_01.png
2319	2573	758	204	829	223	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_002319_002573_02.png
2749	2801	228	267	237	288	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_002749_002801_00.png
2802	2981	255	263	392	291	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_002802_002981_00.png
2802	2981	256	294	276	306	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_002802_002981_01.png
2982	3036	431	268	488	290	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_002982_003036_00.png
3065	3161	185	317	260	353	../SampleVideos/more/video3/video3_removelogo_fgpixel_objs_noseg/cleanup/negate//ycut/obj_003065_003161_00.png
