start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
371	410	124	492	347	933	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000371_000410.png
414	443	290	489	344	508	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000414_000443.png
461	471	290	488	387	506	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000461_000471.png
486	535	239	409	586	837	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000486_000535.png
537	544	568	445	577	452	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000537_000544.png
610	639	230	179	659	624	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000610_000639.png
682	694	685	182	691	197	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000682_000694.png
705	711	708	186	709	186	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000705_000711.png
742	749	741	186	744	187	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000742_000749.png
907	919	539	223	539	224	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000907_000919.png
1211	1234	352	269	368	278	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001211_001234.png
1276	1329	153	406	565	506	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001276_001329.png
1331	1338	158	405	565	503	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001331_001338.png
1349	1362	227	486	301	509	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001349_001362.png
1400	1431	312	504	313	505	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001400_001431.png
1434	1455	349	495	356	500	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001434_001455.png
1459	1471	312	500	369	505	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001459_001471.png
1473	1492	383	501	385	502	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001473_001492.png
1531	1539	236	580	237	582	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001531_001539.png
1545	1559	272	600	272	600	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001545_001559.png
1591	1624	291	558	293	561	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001591_001624.png
1725	1731	248	998	560	1213	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001725_001731.png
1775	1821	191	990	546	1203	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001775_001821.png
1836	1839	212	991	546	1204	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001836_001839.png
1841	1880	213	1039	575	1235	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001841_001880.png
1884	1906	249	998	571	1176	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001884_001906.png
2071	2082	536	188	609	200	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002071_002082.png
2096	2148	535	206	608	231	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002096_002148.png
2151	2156	539	184	545	187	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002151_002156.png
2160	2181	579	180	588	183	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002160_002181.png
2183	2202	579	180	589	198	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002183_002202.png
2236	2243	618	192	630	203	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002236_002243.png
