start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
483	557	49	1	688	480	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_000483_000557.png
607	641	461	28	479	42	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_000607_000641.png
679	713	494	28	538	44	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_000679_000713.png
717	726	505	30	507	30	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_000717_000726.png
740	833	559	25	589	43	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_000740_000833.png
1208	1241	172	95	191	124	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001208_001241.png
1269	1340	195	96	256	126	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001269_001340.png
1341	1496	289	82	432	161	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001341_001496.png
1497	1520	441	116	458	128	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001497_001520.png
1528	1541	254	200	264	207	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001528_001541.png
1542	1721	286	177	429	243	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001542_001721.png
1722	1733	449	197	460	207	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001722_001733.png
1745	1913	489	171	591	218	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001745_001913.png
1919	1988	579	154	617	233	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001919_001988.png
1990	2262	193	1	832	480	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_001990_002262.png
2289	2300	195	1	834	480	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_002289_002300.png
2319	2573	358	1	997	480	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_002319_002573.png
2576	2738	197	1	836	480	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_002576_002738.png
2749	2801	114	1	743	480	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_002749_002801.png
2802	2981	255	263	392	306	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_002802_002981.png
2982	3036	431	268	488	290	../SampleVideos/more/video3/video3_removelogo_negate_fgpixel_objs_noseg/obj_002982_003036.png
