start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
176	184	21	40	452	159	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000176_000184_group.png
364	365	353	37	353	38	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000364_000365_group.png
371	384	350	37	359	85	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000371_000384_group.png
396	430	372	54	422	82	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000396_000430_group.png
438	506	451	57	522	81	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000438_000506_group.png
522	528	47	53	53	54	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000522_000528_group.png
1260	1293	243	102	329	113	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001260_001293_group.png
1298	1299	325	111	331	113	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001298_001299_group.png
1305	1310	329	106	334	114	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001305_001310_group.png
1317	1328	325	105	334	115	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001317_001328_group.png
1382	1418	234	165	347	183	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001382_001418_group.png
1424	1432	237	165	244	175	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001424_001432_group.png
1438	1444	233	164	245	171	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001438_001444_group.png
1465	1478	231	168	239	176	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001465_001478_group.png
1540	1544	282	181	283	181	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001540_001544_group.png
2243	2253	124	48	129	51	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002243_002253_group.png
2263	2280	59	50	59	51	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002263_002280_group.png
2498	2515	29	206	47	230	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002498_002515_group.png
2520	2532	52	206	68	226	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002520_002532_group.png
2546	2599	89	216	162	241	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002546_002599_group.png
