start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
176	184	21	40	452	159	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000176_000184.png
364	365	353	37	353	38	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000364_000365.png
371	372	353	37	354	41	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000371_000372.png
373	375	355	38	359	49	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000373_000375.png
376	377	357	50	359	67	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000376_000377.png
378	379	357	57	358	74	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000378_000379.png
380	382	351	69	356	84	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000380_000382.png
383	384	350	77	356	85	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000383_000384.png
396	397	372	54	372	64	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000396_000397.png
398	402	372	54	381	68	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000398_000402.png
403	404	378	63	390	68	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000403_000404.png
405	407	386	63	393	71	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000405_000407.png
409	410	386	64	394	68	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000409_000410.png
411	412	391	66	400	72	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000411_000412.png
413	415	401	65	402	65	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000413_000415.png
416	417	398	66	411	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000416_000417.png
418	420	406	67	413	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000418_000420.png
421	427	405	66	422	82	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000421_000427.png
428	430	408	66	421	78	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000428_000430.png
438	440	451	57	462	66	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000438_000440.png
441	442	452	59	462	71	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000441_000442.png
443	444	455	60	462	74	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000443_000444.png
445	447	455	60	472	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000445_000447.png
448	451	457	72	473	76	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000448_000451.png
453	454	468	69	479	79	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000453_000454.png
455	459	477	70	486	81	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000455_000459.png
460	461	478	73	486	76	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000460_000461.png
462	466	492	58	496	79	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000462_000466.png
467	468	495	71	500	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000467_000468.png
469	471	493	70	504	81	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000469_000471.png
472	481	499	68	522	79	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000472_000481.png
484	488	501	72	502	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000484_000488.png
492	496	481	71	486	79	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000492_000496.png
497	506	481	71	486	74	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000497_000506.png
522	528	47	53	53	54	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000522_000528.png
539	548	147	50	147	50	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_000539_000548.png
1057	1060	24	144	24	144	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001057_001060.png
1260	1262	243	109	248	112	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001260_001262.png
1263	1264	244	108	250	110	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001263_001264.png
1265	1268	247	105	258	109	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001265_001268.png
1269	1270	250	104	264	107	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001269_001270.png
1271	1273	256	102	278	106	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001271_001273.png
1274	1280	269	102	306	106	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001274_001280.png
1281	1282	297	104	311	108	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001281_001282.png
1283	1284	302	105	315	108	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001283_001284.png
1285	1286	306	106	318	109	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001285_001286.png
1287	1289	309	107	326	111	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001287_001289.png
1292	1293	322	110	329	113	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001292_001293.png
1298	1299	325	111	331	113	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001298_001299.png
1305	1310	329	106	334	114	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001305_001310.png
1311	1315	331	110	331	110	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001311_001315.png
1317	1318	331	106	334	113	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001317_001318.png
1319	1322	325	112	334	115	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001319_001322.png
1324	1328	325	105	330	115	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001324_001328.png
1382	1383	346	165	347	168	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001382_001383.png
1384	1387	337	166	345	173	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg//cleanup/obj_001384_001387.png
