start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
176	184	21	40	452	159	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000176_000184.png
364	365	342	27	363	38	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000364_000365.png
371	372	353	37	354	41	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000371_000372.png
373	375	355	38	359	49	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000373_000375.png
376	377	357	50	359	67	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000376_000377.png
378	379	357	57	358	74	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000378_000379.png
380	382	351	69	356	84	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000380_000382.png
383	384	350	77	356	85	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000383_000384.png
396	397	372	54	372	64	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000396_000397.png
398	402	372	54	381	68	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000398_000402.png
403	404	378	63	390	68	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000403_000404.png
405	407	386	63	393	71	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000405_000407.png
409	410	381	64	394	68	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000409_000410.png
411	412	387	66	400	72	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000411_000412.png
413	415	391	64	402	68	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000413_000415.png
416	417	398	66	411	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000416_000417.png
418	420	406	67	413	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000418_000420.png
421	427	405	66	422	82	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000421_000427.png
428	430	408	66	421	78	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000428_000430.png
438	440	451	57	462	66	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000438_000440.png
441	442	452	58	462	71	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000441_000442.png
443	444	455	60	462	74	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000443_000444.png
445	447	454	59	472	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000445_000447.png
448	451	456	72	473	76	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000448_000451.png
453	454	468	69	479	79	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000453_000454.png
455	459	477	70	486	81	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000455_000459.png
460	461	477	73	486	77	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000460_000461.png
462	466	492	58	496	79	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000462_000466.png
467	468	495	71	500	73	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000467_000468.png
469	471	493	69	504	81	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000469_000471.png
472	481	499	68	522	79	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000472_000481.png
484	488	479	72	502	76	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000484_000488.png
492	496	469	71	498	79	../SampleVideos/more/video4/video4_removelogo_fgpixel_objs_noseg/obj_000492_000496.png
