start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	40	0	470	129	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000000_000000_group.png
287	437	94	142	175	180	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000287_000437_group.png
443	497	179	154	196	172	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000443_000497_group.png
531	677	197	151	226	176	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000531_000677_group.png
692	715	200	170	214	175	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000692_000715_group.png
1126	1147	412	112	414	240	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001126_001147_group.png
1163	1265	371	208	709	233	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001163_001265_group.png
1294	1433	377	94	418	122	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001294_001433_group.png
1485	1505	460	209	462	214	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001485_001505_group.png
1521	1553	455	223	467	232	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001521_001553_group.png
1585	1616	584	208	592	232	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001585_001616_group.png
1888	1901	456	162	458	165	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001888_001901_group.png
1962	1973	459	164	580	166	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001962_001973_group.png
1980	2021	581	167	588	167	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001980_002021_group.png
2157	2273	588	164	591	168	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002157_002273_group.png
2438	2600	459	163	589	208	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002438_002600_group.png
2759	2861	430	169	455	207	../SampleVideos/more/video5/video5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002759_002861_group.png
