start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
81	225	165	20	488	71	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000000_000000.png
354	743	292	73	495	116	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000001_000000.png
458	938	40	116	557	187	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000002_000000.png
354	743	292	73	495	116	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000001_000001.png
458	938	40	116	557	187	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000002_000001.png
963	1213	277	195	675	258	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000003_000000.png
1241	1433	327	268	600	311	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000004_000000.png
1466	1861	44	314	711	367	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000005_000000.png
1887	2050	744	284	830	365	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000006_000000.png
2169	2465	145	411	615	481	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000007_000000.png
2554	2703	150	481	481	508	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000008_000000.png
2755	2815	658	483	809	520	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000009_000000.png
2888	2933	708	517	825	553	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000010_000000.png
2967	3223	161	517	583	588	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000011_000000.png
3265	3281	167	593	292	608	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000012_000000.png
3305	3517	231	605	651	687	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000013_000000.png
3563	3774	422	691	701	758	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000014_000000.png
3793	4405	726	678	848	753	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000015_000000.png
4067	4316	154	804	477	883	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000016_000000.png
3793	4405	726	678	848	753	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000015_000001.png
4515	4614	83	894	353	932	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000017_000000.png
4627	4880	200	919	636	1019	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000018_000000.png
4994	5333	216	1033	647	1111	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000019_000000.png
5340	5691	677	1039	847	1122	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000020_000000.png
5526	5533	744	984	793	1005	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000021_000000.png
5340	5691	677	1039	847	1122	../SampleVideos/more/video6/video6_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//linegroups/sublines/line000020_000001.png
