start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
165	187	96	26	111	64	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000165_000187_group_00.png
165	187	117	40	134	68	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000165_000187_group_01.png
165	187	138	30	157	67	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000165_000187_group_02.png
165	187	200	30	228	65	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000165_000187_group_03.png
165	187	236	58	249	79	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000165_000187_group_04.png
165	187	264	31	294	66	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000165_000187_group_05.png
165	187	310	54	317	74	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000165_000187_group_06.png
165	187	356	27	386	67	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000165_000187_group_07.png
193	203	452	33	473	64	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000193_000203_group_00.png
193	203	476	44	493	62	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000193_000203_group_01.png
207	240	547	37	562	60	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000207_000240_group_00.png
207	240	570	40	588	65	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000207_000240_group_01.png
207	240	594	31	610	62	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000207_000240_group_02.png
207	240	616	40	633	67	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000207_000240_group_03.png
207	240	651	41	654	61	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000207_000240_group_04.png
