start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
166	170	96	26	290	79	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000166_000170.png
171	175	287	32	317	74	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000171_000175.png
178	180	356	37	360	67	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000178_000180.png
182	190	356	27	385	60	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000182_000190.png
194	206	452	33	556	64	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000194_000206.png
207	209	546	38	562	59	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000207_000209.png
210	214	551	41	587	64	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000210_000214.png
215	216	602	31	603	57	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000215_000216.png
217	221	595	40	630	61	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000217_000221.png
222	224	618	56	632	67	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000222_000224.png
228	230	652	41	653	43	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000228_000230.png
231	233	652	57	654	61	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000231_000233.png
234	236	500	110	500	110	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000234_000236.png
251	252	114	94	114	95	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000251_000252.png
293	298	97	152	119	176	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000293_000298.png
301	302	125	156	137	175	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000301_000302.png
303	309	136	150	169	177	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000303_000309.png
310	317	163	157	220	176	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000310_000317.png
318	323	218	155	223	175	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000318_000323.png
332	340	268	146	286	187	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000332_000340.png
341	342	299	162	301	178	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000341_000342.png
343	350	300	163	317	184	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000343_000350.png
351	353	315	161	317	171	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000351_000353.png
355	358	337	157	341	185	../SampleVideos/more/video7/video7_removelogo_fgpixel_objs_noseg/obj_000355_000358.png
