start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	35	26	285	50	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000000_000000.png
124	132	57	64	68	64	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000124_000132.png
133	140	68	70	68	81	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000133_000140.png
143	157	57	67	67	77	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000143_000157.png
158	160	58	70	58	70	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000158_000160.png
163	170	63	80	63	80	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000163_000170.png
185	224	60	70	107	99	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000185_000224.png
227	252	93	76	113	95	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000227_000252.png
255	258	123	72	133	83	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000255_000258.png
259	273	122	72	143	103	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000259_000273.png
275	310	134	69	171	113	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000275_000310.png
311	372	220	74	240	81	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000311_000372.png
373	377	237	82	241	110	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000373_000377.png
380	423	237	79	303	96	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000380_000423.png
426	431	302	79	320	95	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000426_000431.png
435	471	321	74	404	105	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000435_000471.png
475	486	385	81	396	81	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000475_000486.png
489	491	384	73	396	84	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000489_000491.png
496	500	384	72	395	99	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000496_000500.png
501	512	388	77	423	95	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000501_000512.png
515	531	413	82	441	105	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000515_000531.png
532	555	437	78	489	92	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000532_000555.png
556	581	478	70	491	92	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000556_000581.png
582	601	518	73	529	73	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000582_000601.png
603	607	514	78	514	89	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000603_000607.png
608	614	512	75	529	90	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000608_000614.png
616	628	522	80	544	93	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000616_000628.png
630	649	298	119	340	130	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000630_000649.png
