start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	35	26	285	50	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000000_000000.png
123	156	63	76	63	77	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000123_000156.png
157	171	63	80	63	80	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000157_000171.png
172	224	60	70	107	99	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000172_000224.png
226	351	98	67	172	107	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000226_000351.png
361	372	220	75	228	81	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000361_000372.png
373	488	237	74	396	110	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000373_000488.png
489	635	298	70	544	130	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000489_000635.png
636	686	298	106	389	129	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000636_000686.png
692	699	391	106	394	111	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000692_000699.png
836	860	54	167	54	167	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000836_000860.png
873	906	51	166	96	189	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000873_000906.png
907	970	90	168	173	197	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000907_000970.png
971	991	59	192	174	196	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000971_000991.png
998	1152	70	208	314	229	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_000998_001152.png
1153	1193	307	200	378	222	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_001153_001193.png
1309	1328	400	198	440	218	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_001309_001328.png
1329	1526	71	198	592	257	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_001329_001526.png
1527	1739	82	226	546	286	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_001527_001739.png
1744	1923	163	260	433	296	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_001744_001923.png
2783	2995	66	317	469	357	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_002783_002995.png
2996	3028	464	318	512	336	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_002996_003028.png
3054	3152	68	361	172	384	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003054_003152.png
3153	3251	170	357	342	396	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003153_003251.png
3252	3351	334	350	537	390	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003252_003351.png
3415	3435	72	418	72	420	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003415_003435.png
3440	3570	59	406	252	446	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003440_003570.png
3571	3691	100	444	216	468	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003571_003691.png
3692	3852	233	435	369	460	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003692_003852.png
3853	3883	364	430	384	460	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003853_003883.png
3884	3967	391	429	415	461	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_003884_003967.png
4291	4303	64	492	68	497	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004291_004303.png
4311	4405	61	491	180	517	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004311_004405.png
4407	4503	189	491	299	515	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004407_004503.png
4504	4614	289	483	392	520	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004504_004614.png
4684	4724	426	482	432	488	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004684_004724.png
4733	4857	417	481	455	515	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004733_004857.png
4861	4900	454	493	456	495	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004861_004900.png
4901	4971	473	477	483	492	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004901_004971.png
4973	5107	470	491	491	510	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_004973_005107.png
5220	5256	509	491	529	503	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_005220_005256.png
5257	5307	540	493	572	507	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_005257_005307.png
5449	5507	128	530	133	533	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_005449_005507.png
5557	5619	49	533	116	543	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_005557_005619.png
5620	5646	129	533	172	541	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_005620_005646.png
5648	5705	177	528	287	545	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_005648_005705.png
5706	5728	290	526	336	538	../SampleVideos/more/video8/video8_fgpixel_objs_noseg//cleanup/obj_005706_005728.png
