start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	35	26	285	50	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000000_000000.png
123	156	57	67	68	77	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000123_000156.png
157	171	63	70	63	80	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000157_000171.png
172	224	60	70	107	99	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000172_000224.png
226	351	98	59	250	107	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000226_000351.png
352	360	223	68	223	79	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000352_000360.png
361	372	220	75	240	81	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000361_000372.png
373	488	237	74	396	110	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000373_000488.png
489	635	297	70	544	130	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000489_000635.png
636	686	298	106	389	129	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000636_000686.png
687	691	385	106	396	106	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000687_000691.png
692	699	352	98	394	111	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000692_000699.png
700	782	329	128	329	139	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000700_000782.png
785	788	257	127	269	138	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000785_000788.png
836	860	42	161	54	173	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000836_000860.png
866	871	49	159	60	164	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000866_000871.png
873	906	51	166	96	189	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000873_000906.png
907	970	52	168	173	197	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000907_000970.png
971	991	59	187	180	199	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000971_000991.png
998	1152	70	208	319	229	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_000998_001152.png
1153	1193	307	200	378	222	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_001153_001193.png
1194	1210	369	197	381	197	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_001194_001210.png
1214	1226	368	198	379	198	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_001214_001226.png
1235	1253	370	192	382	203	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_001235_001253.png
1267	1303	405	203	405	214	../SampleVideos/more/video8/video8_fgpixel_objs_noseg/obj_001267_001303.png
