start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	35	26	285	50	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000000_000000.png
125	128	170	31	177	44	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000125_000128.png
185	198	60	82	64	98	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000185_000198.png
199	202	63	73	71	83	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000199_000202.png
204	214	65	82	73	85	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000204_000214.png
218	238	81	70	100	99	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000218_000238.png
239	243	101	76	112	81	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000239_000243.png
244	252	100	77	113	93	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000244_000252.png
254	257	100	92	105	95	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000254_000257.png
267	271	124	72	127	95	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000267_000271.png
272	300	122	79	146	103	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000272_000300.png
302	345	152	68	171	107	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000302_000345.png
365	384	220	74	245	110	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000365_000384.png
385	451	245	79	349	105	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000385_000451.png
452	469	348	74	373	93	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000452_000469.png
495	514	386	77	399	98	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000495_000514.png
519	530	413	82	424	105	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000519_000530.png
533	558	436	81	459	92	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000533_000558.png
571	581	478	70	491	92	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000571_000581.png
607	631	512	74	544	93	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000607_000631.png
638	661	298	119	350	130	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000638_000661.png
665	694	350	107	388	126	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000665_000694.png
696	702	388	107	394	111	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000696_000702.png
719	727	323	87	323	87	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000719_000727.png
875	884	51	166	59	190	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000875_000884.png
886	890	59	177	65	183	../SampleVideos/more/video8/video8_removelogo_fgpixel_objs_noseg//cleanup/obj_000886_000890.png
